SalePrice,LotArea,OverallQual,SaleCondition,YearBuilt
208500,8450,7,Normal,2003
181500,9600,6,Normal,1976
223500,11250,7,Normal,2001
140000,9550,7,Abnorml,1915
250000,14260,8,Normal,2000
143000,14115,5,Normal,1993
307000,10084,8,Normal,2004
200000,10382,7,Normal,1973
129900,6120,7,Abnorml,1931
118000,7420,5,Normal,1939
129500,11200,5,Normal,1965
345000,11924,9,Partial,2005
144000,12968,5,Normal,1962
279500,10652,7,Partial,2006
157000,10920,6,Normal,1960
132000,6120,7,Normal,1929
149000,11241,6,Normal,1970
90000,10791,4,Normal,1967
159000,13695,5,Normal,2004
139000,7560,5,Abnorml,1958
325300,14215,8,Partial,2005
139400,7449,7,Normal,1930
230000,9742,8,Normal,2002
129900,4224,5,Normal,1976
154000,8246,5,Normal,1968
256300,14230,8,Normal,2007
134800,7200,5,Normal,1951
306000,11478,8,Normal,2007
207500,16321,5,Normal,1957
68500,6324,4,Normal,1927
40000,8500,4,Normal,1920
149350,8544,5,Normal,1966
179900,11049,8,Normal,2007
165500,10552,5,Normal,1959
277500,7313,9,Normal,2005
309000,13418,8,Normal,2004
145000,10859,5,Normal,1994
153000,8532,5,Normal,1954
109000,7922,5,Abnorml,1953
82000,6040,4,AdjLand,1955
160000,8658,6,Abnorml,1965
170000,16905,5,Normal,1959
144000,9180,5,Normal,1983
130250,9200,5,Normal,1975
141000,7945,5,Normal,1959
319900,7658,9,Normal,2005
239686,12822,7,Abnorml,2003
249700,11096,8,Normal,2006
113000,4456,4,Partial,1920
127000,7742,5,Normal,1966
177000,13869,6,Normal,1997
114500,6240,6,Normal,1934
110000,8472,5,Normal,1963
385000,50271,9,Normal,1981
130000,7134,5,Normal,1955
180500,10175,6,Normal,1964
172500,2645,8,Abnorml,1999
196500,11645,7,Normal,2004
438780,13682,10,Partial,2006
124900,7200,5,Normal,1972
158000,13072,6,Partial,2004
101000,7200,5,Normal,1920
202500,6442,8,Normal,2006
140000,10300,7,Normal,1921
219500,9375,7,Normal,1997
317000,9591,8,Normal,2004
180000,19900,7,Normal,1970
226000,10665,7,Normal,2003
80000,4608,4,Normal,1945
225000,15593,7,Normal,1953
244000,13651,7,Normal,1973
129500,7599,4,Normal,1982
185000,10141,7,Normal,1998
144900,10200,5,Normal,1954
107400,5790,3,Normal,1915
91000,1596,4,Normal,1973
135750,8475,4,Normal,1956
127000,8635,5,Normal,1948
136500,10778,4,Normal,1968
110000,10440,5,Normal,1910
193500,13000,6,Normal,1968
153500,4500,6,Normal,1998
245000,10206,8,Normal,2007
126500,8892,5,Normal,1960
168500,8530,7,Normal,1995
260000,16059,8,Normal,1991
174000,11911,6,Normal,2005
164500,3951,6,Partial,2009
85000,8470,3,Abnorml,1915
123600,8070,4,Normal,1994
109900,7200,4,Normal,1950
98600,8500,5,Abnorml,1961
163500,13360,5,Normal,1921
133900,7200,6,Normal,1910
204750,9337,6,Normal,1997
185000,9765,6,Normal,1993
214000,10264,7,Normal,1999
94750,10921,4,Normal,1965
83000,10625,5,Abnorml,1920
128950,9320,4,Normal,1959
205000,10603,6,Normal,1977
178000,9206,6,Normal,1985
118964,7018,5,Alloca,1979
198900,10402,7,Normal,2009
169500,7758,7,Normal,1931
250000,9375,8,Normal,2003
100000,10800,4,Normal,1885
115000,6000,5,Partial,1948
115000,8500,5,Normal,1919
190000,11751,6,Normal,1977
136900,9525,6,Normal,1954
180000,7750,7,Normal,2000
383970,9965,7,Partial,2007
217000,21000,6,Abnorml,1953
259500,7259,6,Normal,1945
176000,3230,6,Normal,1999
139000,11616,5,Normal,1962
155000,8536,5,Partial,2006
320000,12376,7,Normal,1990
163990,8461,6,Partial,2005
180000,21453,6,Normal,1969
100000,6060,4,Normal,1939
136000,9464,6,Normal,1958
153900,7892,6,Normal,1993
181000,17043,6,Normal,1979
84500,6780,6,Normal,1935
128000,4928,6,Normal,1976
87000,4388,5,Normal,1930
155000,7590,6,Normal,1966
150000,8973,5,Abnorml,1958
226000,14200,7,Normal,1966
244000,12224,6,Normal,2000
150750,7388,5,Normal,1959
220000,6853,8,Normal,2001
180000,10335,5,Normal,1968
174000,10400,7,Normal,1970
143000,10355,5,Normal,1967
171000,11070,7,Family,1988
230000,9066,8,Normal,1999
231500,15426,6,Normal,1997
115000,10500,4,Normal,1971
260000,11645,7,Normal,2005
166000,8520,5,Normal,1952
204000,10335,7,Normal,1999
125000,9100,5,Abnorml,1963
130000,2522,6,Normal,2004
105000,6120,5,Normal,1931
222500,9505,7,Normal,2001
141000,7500,7,Normal,2004
115000,6240,5,Normal,1936
122000,10356,5,Normal,1975
372402,13891,8,Partial,2007
190000,14803,6,Normal,1971
235000,13500,6,Normal,1960
125000,11340,6,Family,1923
79000,9600,6,Normal,1924
109500,7200,5,Normal,1950
269500,12003,8,Partial,2009
254900,12552,7,Normal,2004
320000,19378,7,Partial,2005
162500,11120,6,Normal,1984
412500,13688,9,Normal,2003
220000,12182,7,Partial,2005
103200,5500,4,Normal,1956
152000,5400,6,Normal,1926
127500,10106,5,Normal,1940
190000,10708,5,Normal,1955
325624,10562,8,Partial,2007
183500,8244,7,Normal,2004
228000,16669,8,Normal,1981
128500,12358,5,Normal,1941
215000,31770,6,Normal,1960
239000,5306,7,Normal,1987
163000,10197,6,Normal,1961
184000,12416,6,Normal,1986
243000,12615,6,Normal,1950
211000,10029,6,Normal,1988
172500,13650,5,Normal,1958
501837,17423,9,Partial,2008
100000,8520,5,Normal,1923
177000,2117,6,Normal,2000
200100,7588,7,Normal,1920
120000,9060,5,Normal,1957
200000,11426,7,Normal,2003
127000,7438,5,Normal,1908
475000,22950,10,Normal,1892
173000,9947,7,Normal,1990
135000,10410,5,Normal,1916
153337,7018,5,Alloca,1979
286000,4923,8,Normal,2001
315000,10570,8,Normal,1932
184000,7472,7,Normal,1972
192000,9017,7,Normal,1999
130000,2522,7,Normal,2004
127000,7180,5,Normal,1972
148500,2280,6,Normal,1976
311872,9416,7,Partial,2007
235000,25419,8,Abnorml,1918
104000,5520,6,Abnorml,1912
274900,9591,8,Normal,2004
140000,8546,4,Normal,2003
171500,10125,6,Normal,1977
112000,7000,6,Normal,1924
149000,4438,6,Normal,2004
110000,3500,5,Normal,1947
180500,11851,7,Normal,1990
143900,13673,5,Normal,1962
141000,12493,4,Normal,1960
277000,14364,7,Normal,1988
145000,8250,6,Normal,1964
98000,5604,5,Normal,1925
186000,10420,6,Normal,2009
252678,8640,7,Partial,2009
156000,13568,5,Normal,1995
161750,10900,6,Normal,1977
134450,10011,5,Normal,1957
210000,8450,7,Normal,2004
107000,9906,4,Family,1925
311500,15660,7,Normal,1939
167240,3010,7,Partial,2005
204900,8990,7,Partial,2006
200000,8068,6,Normal,2002
179900,11475,6,Normal,1975
97000,10500,4,Abnorml,1971
386250,13472,10,Normal,2003
112000,1680,5,Abnorml,1971
290000,9950,7,Abnorml,1995
106000,1869,6,Normal,1970
125000,8521,5,Normal,1967
192500,3182,7,Normal,2005
148000,8760,6,Normal,1959
403000,15138,8,Normal,1995
94500,1680,6,Normal,1972
128200,10650,5,Normal,1976
216500,7851,6,Normal,2002
89500,1680,6,Normal,1971
185500,8773,7,Normal,2004
194500,9453,7,Normal,1993
318000,12030,8,Partial,2007
113000,8741,6,Normal,1945
262500,9000,8,Normal,2008
110500,3880,5,Normal,1945
79000,5000,5,Normal,1900
120000,10762,6,Normal,1980
205000,8880,7,Normal,1994
241500,10400,7,Normal,1988
137000,9142,6,Normal,1910
