,Id,Alley,Fence,SalePrice,LotArea,OverallQual,YearRemodAdd,YearBuilt,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,GarageCars,Fireplaces,WoodDeckSF,OpenPorchSF,SaleCondition,KitchenQual,Heating,GarageType
0,1,,,208500,8450,7,2003,2003,196.0,856,1710,2,2,0,0,61,Normal,Gd,GasA,Attchd
1,2,,,181500,9600,6,1976,1976,0.0,1262,1262,2,2,1,298,0,Normal,TA,GasA,Attchd
2,3,,,223500,11250,7,2002,2001,162.0,920,1786,2,2,1,0,42,Normal,Gd,GasA,Attchd
3,4,,,140000,9550,7,1970,1915,0.0,756,1717,1,3,1,0,35,Abnorml,Gd,GasA,Detchd
4,5,,,250000,14260,8,2000,2000,350.0,1145,2198,2,3,1,192,84,Normal,Gd,GasA,Attchd
5,6,,MnPrv,143000,14115,5,1995,1993,0.0,796,1362,1,2,0,40,30,Normal,TA,GasA,Attchd
6,7,,,307000,10084,8,2005,2004,186.0,1686,1694,2,2,1,255,57,Normal,Gd,GasA,Attchd
7,8,,,200000,10382,7,1973,1973,240.0,1107,2090,2,2,2,235,204,Normal,TA,GasA,Attchd
8,9,,,129900,6120,7,1950,1931,0.0,952,1774,2,2,2,90,0,Abnorml,TA,GasA,Detchd
9,10,,,118000,7420,5,1950,1939,0.0,991,1077,1,1,2,0,4,Normal,TA,GasA,Attchd
10,11,,,129500,11200,5,1965,1965,0.0,1040,1040,1,1,0,0,0,Normal,TA,GasA,Detchd
11,12,,,345000,11924,9,2006,2005,286.0,1175,2324,3,3,2,147,21,Partial,Ex,GasA,BuiltIn
12,13,,,144000,12968,5,1962,1962,0.0,912,912,1,1,0,140,0,Normal,TA,GasA,Detchd
13,14,,,279500,10652,7,2007,2006,306.0,1494,1494,2,3,1,160,33,Partial,Gd,GasA,Attchd
14,15,,GdWo,157000,10920,6,1960,1960,212.0,1253,1253,1,1,1,0,213,Normal,TA,GasA,Attchd
15,16,,GdPrv,132000,6120,7,2001,1929,0.0,832,854,1,2,0,48,112,Normal,TA,GasA,Detchd
16,17,,,149000,11241,6,1970,1970,180.0,1004,1004,1,2,1,0,0,Normal,TA,GasA,Attchd
17,18,,,90000,10791,4,1967,1967,0.0,0,1296,2,2,0,0,0,Normal,TA,GasA,CarPort
18,19,,,159000,13695,5,2004,2004,0.0,1114,1114,1,2,0,0,102,Normal,Gd,GasA,Detchd
19,20,,MnPrv,139000,7560,5,1965,1958,0.0,1029,1339,1,1,0,0,0,Abnorml,TA,GasA,Attchd
20,21,,,325300,14215,8,2006,2005,380.0,1158,2376,3,3,1,240,154,Partial,Gd,GasA,BuiltIn
