SalePrice,LotArea,OverallQual,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,GarageCars,Fireplaces,WoodDeckSF,OpenPorchSF,KitchenQual,Age,RemodAge,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleCondition_other,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None
208500,8450.0,7,196.0,856.0,1710.0,2,2,0,0.0,61.0,2.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
181500,9600.0,6,0.0,1262.0,1262.0,2,2,1,298.0,0.0,1.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223500,11250.0,7,162.0,920.0,1786.0,2,2,1,0.0,42.0,2.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140000,9550.0,7,0.0,756.0,1717.0,1,3,1,0.0,35.0,2.0,95.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250000,14260.0,8,350.0,1145.0,2198.0,2,3,1,192.0,84.0,2.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143000,14115.0,5,0.0,796.0,1362.0,1,2,0,40.0,30.0,1.0,17.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
307000,10084.0,8,186.0,1686.0,1694.0,2,2,1,255.0,57.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200000,10382.0,7,240.0,1107.0,2090.0,2,2,2,235.0,204.0,1.0,37.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129900,6120.0,7,0.0,952.0,1774.0,2,2,2,90.0,0.0,1.0,79.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118000,7420.0,5,0.0,991.0,1077.0,1,1,2,0.0,4.0,1.0,71.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129500,11200.0,5,0.0,1040.0,1040.0,1,1,0,0.0,0.0,1.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
345000,11924.0,9,286.0,1175.0,2324.0,3,3,2,147.0,21.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144000,12968.0,5,0.0,912.0,912.0,1,1,0,140.0,0.0,1.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
279500,10652.0,7,306.0,1494.0,1494.0,2,3,1,160.0,33.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157000,10920.0,6,212.0,1253.0,1253.0,1,1,1,0.0,213.0,1.0,50.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132000,6120.0,7,0.0,832.0,854.0,1,2,0,48.0,112.0,1.0,81.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
149000,11241.0,6,180.0,1004.0,1004.0,1,2,1,0.0,0.0,1.0,40.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90000,10791.0,4,0.0,0.0,1296.0,2,2,0,0.0,0.0,1.0,43.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159000,13695.0,5,0.0,1114.0,1114.0,1,2,0,0.0,102.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139000,7560.0,5,0.0,1029.0,1339.0,1,1,0,0.0,0.0,1.0,52.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
325300,14215.0,8,380.0,1158.0,2376.0,3,3,1,240.0,154.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
139400,7449.0,7,0.0,637.0,1108.0,1,1,1,0.0,0.0,2.0,80.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
230000,9742.0,8,281.0,1777.0,1795.0,2,2,1,171.0,159.0,2.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129900,4224.0,5,0.0,1040.0,1060.0,1,2,1,100.0,110.0,1.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
154000,8246.0,5,0.0,1060.0,1060.0,1,1,1,406.0,90.0,2.0,42.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
256300,14230.0,8,640.0,1566.0,1600.0,2,3,1,0.0,56.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134800,7200.0,5,0.0,900.0,900.0,1,2,0,222.0,32.0,2.0,59.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
306000,11478.0,8,200.0,1704.0,1704.0,2,3,1,0.0,50.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207500,16321.0,5,0.0,1484.0,1600.0,1,1,2,288.0,258.0,1.0,53.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68500,6324.0,4,0.0,520.0,520.0,1,1,0,49.0,0.0,0.0,83.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
